"","id","name","defaultYield","yieldUnit","cropNotes","fpp_type","fpp_crop_id"
"30","766","Corn, sweet, ears",14000,"lbs/ac","Annual, warm season, whole ear production,
Harvest suggest:  Harvest vegetable, last, manual or mechanical, ","primary",NA
"31","767","Cotton",750,"lb/ac lint","Annual, broadleaf, warm season, lint production,
suggest harvest oprn: Harvest, Cotton, ","primary","4"
"32","768","Cover crop, annual, legume",3,"ton/ac","Annual, broadleaf, cover crop production,
suggest termination, spray kill crop or tillage, ","cover",NA
"33","769","Cover crop, mix, cool season, spring",2000,"lb/ac","Annual, cool season grass and broadleaf mix, cover crop,
Suggest termination, Spray kill crop or tillage.  ","cover",NA
"34","770","Cover crop, mix, cool season, winter",3890,"lbs/ac","Annual, cool season grass and broadleaf mix, cover crop,
Suggest termination, Spray kill crop or tillage.  ","cover",NA
"35","771","Cover crop, mix, warm season",2000,"lb/ac","Annual, warm season grass and broadleaf mix, cover crop,
Suggest termination, Spray kill crop or tillage.  ","cover",NA
"36","772","Crambe",2000,"lb/ac","Annual, broadleaf, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary",NA
"37","773","Eggplant",250,"lbs/ac","Annual, broadleaf, above ground vegetable production,
suggest harvest, harvest hand pick last or mechanical, ","primary",NA
"38","774","Flax, grain",15,"bu/ac","Annual, broadleaf, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary",NA
"39","775","Flower perennial, bulbs",600,"lbs/ac","Perennial, flower bulb, below ground production,
suggest harvest:  Harvest dig shallow root crop,","cover",NA
"40","776","Flowers, annual",1200,"lbs/ac","Annual flower production, above ground flowers with stem and wholde plant
suggest harvest:  Harvest cut flowers,","cover",NA
"41","777","Flowers, perennial",6.5,"ton/ac","Perennial, flower production, harvest suggest:  Harvest leafy crops manual or mechanical,
or lavender bundles, or harvest cut flowers, ","cover",NA
"42","778","Garlic, seed production",17000,"lb/ac","Perennial, root crop, seed production,
suggest harvest:  Harvest dig shallow root crop, ","primary",NA
"43","779","Ginger",46000,"lbs/ac","Perennial, root crop, below ground production,
suggest harvest:  Harvest dig shallow root crop, ","primary",NA
"44","780","Grass, annual, forage, fiber",3,"lbs/ac","Annual fiber crops, grass or broadleaf, examples kenaf, hemp,
suggest harvest:  Harvest, biomass, fiber crops,  ","cover",NA
"45","781","Grass, perennial, cool season",3000,"lbs/ac","Perennial, cool season grass, hay or forage,
suggest harvest:  Harvest, hay, grass or legume, ","cover",NA
"46","782","Grass, perennial, Switchgrass",3000,"lbs/ac","Perennial, warm season grass, hay production,
suggest harvest oprn: Harvest, hay, grass or legume, ","cover",NA
"47","783","Grass, perennial, Turfgrass",1,"ton/ac","Perennial, grass, turf production, Harvest select:  sod cutter, ","cover",NA
"48","784","Grass, perennial, warm season",3000,"lbs/ac","Perennial, warm season grass, hay or forage,
suggest harvest:  Harvest, hay, grass or legume, , ","cover",NA
"49","785","Grass, seed, perennial, cool season",1200,"lbs/ac","Perennial, cool season grass for seed production,
suggest harvest:  Harvest, perennial, grass or legume seed, ","cover",NA
"50","786","Grass, seed, perennial, warm season",1200,"lbs/ac","Perennial, warm season grass for seed production,
suggest harvest:  Harvest, perennial, grass or legume seed, ","cover",NA
"51","787","Hops",34,"tons/ac","Perennial, large  trained plant, hops procution,
Harvest manual or mechanical last,","primary",NA
"52","788","Horseradish",18000,"lbs/ac","Perennial, root crop, below ground production,
suggest harvest:  Harvest dig shallow root crop,","primary",NA
"53","789","Meadowfoam, seed production",1100,"lb/ac","Annual, seed production,
suggest harvest, harvest grass or legume seed.,","primary",NA
"54","790","Melons, vine, eg watermelon",25000,"lbs/ac","Annual, broadleaf vine crop, above ground veg or fruit,
suggest harvest:  Harvest, vine crop, final","primary",NA
"55","791","Millet, foxtail, grain",30,"bu/ac","Annual, warm season grass, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary",NA
"56","792","Millet, proso, grain",35,"bu/ac","Enter dev notes here.","primary",NA
"57","793","Mint",1100,"lbs/ac","Perennial, hay forage production and extract oil,
Suggest harvest:  Harvest, hay, grass or legume, ","primary",NA
"58","794","Miscanthus, perennial, biomass",12,"ton/ac","Perennial, biomass cover production,
suggest harvest, Harvest biomass fiber crop, ","primary",NA
"59","795","Miscanthus, perennial, rhizome",12,"lbs/ac rhizome","Perennial, biomass cover, root production,
suggest harvest, Harvest shallow root crop, ","primary",NA
"60","796","Mustard seed, grain",1200,"lb/ac","Annual, cool season broadleaf, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary",NA
"61","797","no crop",0,"kg/m^2","Placeholder crop, record used in management editor","primary",NA
"62","798","Oats, spring, grain",60,"bu/ac","Annual, cool season grass, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","cover",NA
"63","799","Okra",2650,"lbs/ac","Annual, broadleaf, above ground vegetable production,
suggest harvest, harvest hand pick last or mechanical, ","primary",NA
"64","800","Onion, bulb dry",300,"cwt/ac","Annual, root crop production,
suggest harvest, harvest dig root crop, ","primary",NA
"65","801","Onion, bulb, released",300,"cwt/ac","Annual, root crop production, released growth with harvest or spray termination of previous crop
suggest harvest, harvest dig root crop, ","primary",NA
"66","802","Onion, green bunch",18200,"lbs/ac","Annual, root crop production, suggest harvest, harvest dig root crop, ","primary",NA
"67","803","Pea, Lentil, dry",1500,"lb/ac","Annual, dry pea production, examples:  black eye, chick, lentils,
suggest harvest oprn:  Harvest, knife, windrow, combine, ","primary",NA
"68","804","Peanut, runner",2000,"lb/ac","Annual, root crop production, suggest harvest, harvest dig root crop, ","primary","6"
"69","805","Peppers, bell, chile",31800,"lbs/ac","Annual, broadleaf, above ground vegetable production,
suggest harvest, harvest hand pick last or mechanical, ","primary",NA
"70","806","Pineapple",10,"ton/ac","Perennial, tropical crop, above ground harvest,
suggest harvest, Harvest hand pick manual or mechanical,","primary",NA
"71","807","Potato, tubers",400,"cwt/ac","Annual, root crop production, suggest harvest, harvest dig root crop, ","primary","41"
"72","808","Rice, dwarf",90,"cwt/ac","Annual, warm season grass, grain production,
suggest final harvest: Harvest, killing crop with percent standing stubble, ","primary","39"
"73","809","Rice, semi-dwarf",75,"cwt/ac","Annual, warm season grass, grain production,
suggest final harvest: Harvest, killing crop with percent standing stubble, ","primary","39"
"74","810","Rice, tall",55,"cwt/ac","Annual, warm season grass, grain production,
suggest final harvest: Harvest, killing crop with percent standing stubble, ","primary","39"
"75","811","Roses, bag market",40000,"lbs/ac","Perennial, bush, flower, Harvest suggest, harvest dig deep root crops, ","primary",NA
"76","812","Rye, cereal, winter, grain",40,"bu/ac","Annual, cool season grass, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","cover",NA
"77","813","Ryegrass, annual, grain",1780,"ton/ac","Annual, cool season grass, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","cover",NA
"78","814","Safflower",1400,"lb/ac","Annual, warm season broadleaf, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary",NA
"79","815","Sesame, seed",2600,"lb/ac","Annual, warm season broadleaf, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary",NA
"80","816","Small grain, spring, forage",2000,"lbs/ac","Annual, cool season grass, hay or forage production, examples Oats, Barley, Wheat,
suggest harvest oprn: Harvest, hay, grass or legume, or grazing, ","cover",NA
"81","817","Small grain, spring, hay",2,"ton/ac","Annual, cool season grass, hay production,
suggest harvest oprn: Harvest, hay, grass or legume,","cover",NA
"82","818","Small grain, spring, silage",8,"ton/ac","Annual, cool season grass, silage production,
suggest harvest oprn: Harvest, silage,","cover",NA
"83","820","Small grain, winter, forage",2240,"lbs/ac","Annual, winter small grain, grown for hay, forage, cover,
examples winter Barley and Triticale, Harvest hay, or graze, or terminate cover crop, ","cover",NA
"84","819","Small grain, winter, forage, release",2000,"lbs/ac","Annual, released growing winter small grain crop grown for hay, forage, cover,
examples winter Barley and Triticale, Harvest hay, or graze, or terminate cover crop, ","cover",NA
"85","821","Small grain, winter, hay",2,"ton/ac","Annual, cool season grass, hay production,
suggest harvest oprn: Harvest, hay, grass or legume,","cover",NA
"86","822","Small grain, winter, silage",11,"ton/ac","Annual, small grain, cool season crops, silage production,
Harvest suggest, Harvest, silage,","cover",NA
"87","823","Sorghum, forage, seed production",1250,"lb/ac","Annual, grass, warm season, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary",NA
"88","824","Sorghum, grain",64,"bu/ac","Enter dev notes here.","primary","5"
"89","825","Sorghum, sudangrass, forage",10,"ton/ac","Annual, warm season grass, hay production,
suggest harvest oprn: Harvest, hay, grass or legume, ","primary",NA
"90","826","Sorghum, sudangrass, silage",20,"ton/ac","Annual, warm season grass, silage production, Harvest suggest:  harvest silage, ","primary",NA
"91","827","Soybean, grain",45,"bu/ac","Annual, broadleaf, warm season, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary","2"
"92","828","Strawberry",20000,"lbs/ac","Perennial, low growing above ground production,
suggest harvest, Harvest hand pick, ","primary",NA
"93","829","Sugarbeet, seed production",2600,"lb/ac","Annual, root crop production,
suggest harvest, harvest dig root crop,","primary",NA
"94","831","Sugarbeet, sugar",20,"ton/ac","Annual, root crop production, suggest harvest, harvest dig root crop,","primary","51"
"95","830","Sugarbeet, sugar, released",20,"ton/ac","Annual, root crop production, released growth with harvest or spray termination of previous crop.
suggest harvest, harvest dig root crop, ","primary",NA
"96","832","Sugarcane, sugar",34,"ton/ac Cane","Perennial, warm season, sugar production, suggest harvest:  Harvest, sugarcane,","primary",NA
"97","833","Sunflower",1400,"lb/ac","Annual, warm season broadleaf, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary",NA
"98","834","Taro, Bunglong",17000,"lbs/ac","Annual, root crop production, suggest harvest, harvest dig root crop,","primary",NA
"99","835","Teff, grain",800,"lb/ac","Annual, broadleaf, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary",NA
"100","836","Teff, summer, forage",3,"ton/ac","Perennial, warm season grass, hay production,
suggest harvest oprn: Harvest, hay, grass or legume,","primary",NA
"101","838","Timothy, hay",2,"ton/ac","Perennial, warm season grass, hay production,
suggest harvest oprn: Harvest, hay, grass or legume, ","primary",NA
"102","837","Timothy, hay, released",2,"ton/ac","Perennial, grass, hay production, Harvest suggest:  harvest hay, grass or legume, ","primary",NA
"103","839","Tobacco, burley",2100,"lbs/ac","Annual, leafy crop, suggest harvest:  harvest manual or mechanical leafy crop final, ","primary",NA
"104","840","Tobacco, dark",2100,"lbs/ac","Annual, leafy crop, suggest harvest:  harvest manual or mechanical leafy crop final, ","primary",NA
"105","841","Tobacco, flue cured",2100,"lbs/ac","Annual, leafy crop, suggest harvest:  harvest manual or mechanical leafy crop final, ","primary",NA
"106","842","Tomato, fresh, cwt",300,"cwt/ac","Annual, broadleaf, above ground vegetable production,
suggest harvest, harvest hand pick last or mechanical, ","primary",NA
"107","843","Tomato, processing, tons",25,"ton/ac","Annual, broadleaf, above ground vegetable production,
suggest harvest, harvest hand pick last or mechanical, ","primary",NA
"108","844","Triticale, grain",40,"bu/ac","Annual, cool season grass, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary",NA
"109","845","Vegetable, eg broccoli, cauliflower",18300,"lbs/ac","Annual, broadleaf, above ground vegetable, florets and stem,  example:  brocolli, cauliflower, celery,
suggest harvest:  Harvest, head, floret crop, manual or mechanical, ","primary",NA
"110","846","Vegetable, head, eg cabbage",39000,"lbs/ac","Annual, broadleaf, above ground vegetable, heads, harvest suggest:  harvest ,
example:  Cabbage, head lettuce, suggest harvest:  Harvest, head, floret crop, manual or mechanical,","primary",NA
"111","847","Vegetable, root, eg turnip",1800,"lbs/ac","Annual, vegetable root crop production, suggest harvest, harvest dig root crop, ","primary",NA
"112","848","Vegetable, root, seed production",350,"lb/ac","Annual, broadleaf, root crop for seed production,
suggest harvest:  Harvest, perennial, grass or legume seed, ","primary",NA
"113","850","Vegetables, leafy, eg spinach",35300,"lbs/ac","Annual, broadleaf, above ground leafy crop harvest, example:  lettuce, leaf, spinach, collard greens,
suggest harvest:  Harvest, leafy crops, manual or mechanical, ","primary",NA
"114","849","Vegetable, vine, eg squash",31700,"lbs/ac","Annual, broadleaf vine crop, above ground vegetable production,
suggest harvest, harvest hand pick last or mechanical, ","primary",NA
"115","851","Weeds, spring, summer",2000,"lbs/ac","Annual, warm season weed growth, start with begin growth and select as a temporary crop,
terminate with sprayer or tillage, ","cover",NA
"116","852","Weeds, winter",1000,"lbs/ac","Annual, cool season weed growth, start with begin growth and select as a temporary crop,
terminate with sprayer or tillage, ","cover",NA
"117","853","Wheat, spring, grain",30,"bu/ac","Annual, cool season grass, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary","9"
"118","854","Wheat, winter, grain",40,"bu/ac","Annual, cool season grass, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary","3"
